original_path,sha256,bytes,category,disposition,destination,notes
benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_review_packets.json,06af64e3d85bf24047e3ac5fa245a2cf6b91d3a973cc8ee0ebc6744178c78f11,78457,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_review_packets.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_review_report.md,9fb597337720beb5e8238640d2b2fbe1854fcaa392a971370f428b161ccf0464,1241,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_review_report.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_seed_output.json,da0af5aadef388a15f97407ed34ddef898d1610cde3e4c3c6284c1f02d1ee893,27953,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_seed_output.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_seed_review_summary.json,42e3217f241c5d5ead82a13003ba6ee6d6f70ea51b10fcd8d68a76810c4df9ab,83108,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/reviewed_offset12/open_set_seed_review_summary.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_006/README.md,fb34201c1fd7728fedf1065a888aa36259e66a0b45cf15ed0ee9ab4f292b7de4,7003,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_006/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_006/batch1/README.md,8854e29b1213e75e451147a958569537e9709572e8f8a070a3e203a45a44515c,5804,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_006/batch1/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_disagreements.json,abbbb0afaa2f151cdc4febb038c22cafda085130d5cd8e248a3bd0ddee900d34,241,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_disagreements.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_review_packets.json,bb9d29ae1a087012ab6789325c5f9c2a878c2d1f121ae194f0b4f53f817ee1d1,53745,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_review_packets.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_review_report.md,ab23199a52f1ecd1eb9b29901d718b081c3e2e08fa983477f8564661282a944f,1197,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_review_report.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_seed_review_summary.json,21b300b52b9df6de766650cede4d57f28df3c6562a7b35fb06285bdf0f28dcaa,88391,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_006/batch1/ai_review/open_set_seed_review_summary.json,Historical fixture retained because tests read it directly.
